PH_NO,STATE,CITY,ROUND_TRIP
617-564-2109,NJ,Princeton,Y
609-742-1705,CO,Longmont,Y
303-856-2692,CA,San Francisco,Y
415-261-8018,CO,Boulder,Y
303-734-7449,IL,Niles,Y
847-403-8248,NJ,Rocky Hill,N
609-236-3229,IA,Sergeant Bluff,N
712-300-3097,MD,Laurel,N
301-755-3635,RI,Providence,Y
401-899-2157,NC,Charlotte,Y
704-701-7335,NY,Webster,Y
585-443-9256,NC,Monroe,Y
704-527-4769,VA,Vienna,N
703-958-7642,AZ,Phoenix,N
602-451-7735,PA,Pittsburgh,Y
412-342-7301,OR,The Dalles,Y
541-890-9240,PA,Scranton,Y
570-349-6325,NY,Niagara Falls,Y
716-898-7798,MA,Somerville,Y
617-237-3581,GA,Columbus,Y
706-722-7432,CA,Hayward,N
510-494-4321,NY,Ozone Park,N
718-804-5141,NY,Amityville,N
631-219-6452,CT,Bridgeport,Y
203-377-7771,FL,Crystal River,Y
352-972-9723,NY,New York,Y
212-360-9896,CA,Los Angeles,Y
310-960-3638,PA,Carnegie,N
412-467-4436,CA,Anaheim,N
714-498-6349,CA,San Leandro,Y
510-771-7698,FL,Miami,Y
305-666-6785,NJ,Belford,Y
732-473-7305,TX,Laredo,Y
956-784-4377,NY,New York,Y
212-759-6170,CA,Glendale,Y
818-726-6437,CA,Westminster,N
714-217-6816,LA,New Orleans,N
504-687-9286,TX,Dallas,N
214-959-4825,CA,Berkeley,Y
510-492-7768,LA,Morgan City,Y
985-389-9259,NY,Staten Island,Y
718-722-1401,MN,Anoka,Y
763-765-7548,OH,Middletown,N
513-557-5812,CA,San Jose,N
408-896-8436,TX,La Marque,Y
409-602-7466,NJ,Berkeley Heights,Y
908-273-6763,MN,Minneapolis,Y
612-980-9739,CA,San Carlos,Y
650-870-1550,MA,Cambridge,Y
617-511-1556,CA,Anaheim,Y
714-356-8604,MI,Sterling Heights,N
586-809-3142,PA,Philadelphia,N
215-990-8116,LA,Harvey,N
504-967-5830,CA,San Leandro,Y
510-497-9142,NJ,Atlantic City,Y
609-412-7136,LA,Morgan City,Y
985-787-9093,AK,Fairbanks,Y
907-921-3282,AR,Little Rock,N
501-583-9004,NJ,Newark,N
973-555-8460,NY,New Hyde Park,Y
516-300-6232,CA,Long Beach,Y
562-991-1024,NC,Durham,Y
919-538-9833,CA,Susanville,Y
530-980-3243,TX,Austin,Y
512-875-7170,NJ,Passaic,Y
973-444-8700,NY,Olean,N
716-593-5134,PA,Wynnewood,N
610-202-4014,NJ,Somerset,N
732-907-5434,FL,Miami,Y
305-516-8177,NJ,Clifton,Y
973-465-2319,NC,Dunn,Y
910-738-6899,MI,Royal Oak,Y
248-693-8615,NJ,Orange,N
973-431-3818,RI,Johnston,N
401-280-5519,CA,Chico,Y
530-206-1840,NY,Staten Island,Y
718-353-5848,NJ,South Hackensack,Y
201-553-3026,CA,Long Beach,Y
562-623-5685,TN,Portland,Y
615-566-6893,NY,Brooklyn,Y
718-346-2375,WI,Green Bay,N
920-312-8945,FL,Brandon,N
813-328-5262,OH,Cincinnati,N
513-740-3031,TX,Arlington,Y
817-986-5775,WI,Kenosha,Y
262-477-4773,WI,De Forest,Y
608-869-4401,NJ,Whippany,Y
973-257-2029,OK,Oklahoma City,N
405-850-6790,PA,Philadelphia,N
215-443-9901,GA,Gainesville,Y
770-746-6228,WA,Twisp,Y
509-402-2545,OK,Fargo,Y
580-645-7064,NJ,Linden,Y
908-404-2647,CT,Hamden,Y
203-587-1876,TX,Bryan,Y
979-814-9936,CA,Burlingame,N
650-267-8477,CA,Long Beach,N
562-401-2152,PA,Philadelphia,N
215-236-9211,NV,Las Vegas,Y
702-492-4888,MI,Grand Haven,Y
616-952-1994,CA,Buena Park,Y
714-426-7124,DC,Washington,Y
202-910-9869,CA,Paramount,N
562-850-8547,FL,Saint Cloud,N
407-709-3589,MA,Gloucester,Y
978-295-9397,CA,Cerritos,Y
562-855-3994,OH,Canal Fulton,Y
330-957-6540,NY,Staten Island,Y
718-630-7908,IL,Schaumburg,Y
847-465-3986,OR,Sherwood,Y
503-431-4648,TX,Dallas,N
214-263-1061,NE,Omaha,N
402-596-9281,NY,Brooklyn,N
718-899-8031,CA,San Jose,Y
408-376-2330,CA,Lynwood,Y
310-599-2054,GA,Warner Robins,Y
478-842-4775,MN,Minneapolis,Y
952-620-2865,OH,Toledo,N
419-640-4853,DE,Wilmington,N
302-527-6219,PA,Philadelphia,Y
215-687-4601,NJ,Marlton,Y
856-831-3574,MI,Grand Rapids,Y
616-548-3709,OH,Cincinnati,Y
513-521-1132,PA,Sewickley,Y
412-909-7348,NY,New York,Y
212-505-6897,AK,Nome,N
907-590-1620,MD,Baltimore,N
410-967-9804,NY,New York,N
212-514-8835,CA,San Francisco,Y
415-377-1196,IL,Chicago,Y
773-475-5141,CA,Concord,Y
925-268-9180,MI,Lansing,Y
517-410-8732,CA,Montclair,N
909-727-2465,MA,Cambridge,N
617-222-4068,NJ,Newark,Y
973-493-2218,PA,Homestead,Y
412-584-3395,CA,San Anselmo,Y
415-949-1691,MI,Troy,Y
248-446-3880,NY,Staten Island,Y
718-624-6359,NJ,Flemington,Y
908-443-6750,WI,Kiel,N
920-339-8015,NV,Las Vegas,N
702-610-3066,CA,Bakersfield,N
661-348-1196,IL,Rockford,Y
815-462-3952,IL,Mount Prospect,Y
847-590-4336,CO,Denver,Y
303-602-4285,AR,Jonesboro,Y
870-886-7991,CO,Colorado Springs,N
719-939-4681,TX,Irving,N
972-626-1819,NJ,Hoboken,Y
201-720-1817,NY,New York,Y
212-543-7406,TX,Pflugerville,Y
512-875-7607,CA,Anaheim,Y
714-483-6636,WA,Seattle,Y
206-594-7950,WA,Seattle,Y
206-459-3342,MS,Greenwood,N
662-631-6114,IN,Indianapolis,N
317-307-9259,NJ,Middlesex,N
732-707-9929,AK,Anchorage,Y
907-719-6457,CA,Camarillo,Y
805-565-6922,CA,Riverside,Y
951-763-7047,KY,Lexington,Y
859-254-1255,WI,Manawa,N
920-279-8507,NJ,Freehold,N
732-233-3061,NJ,Morris Plains,Y
973-219-4852,CA,Ontario,Y
909-809-4371,GA,Savannah,Y
912-733-9124,CA,Lancaster,Y
661-611-7032,CA,Sacramento,Y
916-476-6375,OH,Columbus,Y
614-830-3965,CA,Glendale,N
818-267-6439,CA,San Francisco,N
415-297-9105,NY,Bronx,N
718-487-7305,VA,Alexandria,Y
703-576-4846,NY,New York,Y
212-636-4104,NJ,Englewood,Y
201-330-4356,MS,Saltillo,Y
662-466-8379,CA,San Francisco,N
415-908-4402,MO,Independence,N
816-726-6091,NJ,Neptune,Y
732-602-5209,TX,Amarillo,Y
806-949-5323,CA,Valencia,Y
661-852-8817,TX,Dallas,Y
214-661-1423,PA,Camp Hill,Y
717-200-2366,CA,Belmont,Y
650-437-2513,NY,Long Island City,N
718-574-3531,FL,Jacksonville,N
904-669-4874,TX,Beaumont,N
409-231-4678,VA,Annandale,Y
703-393-2146,IL,Evergreen Park,Y
708-222-1513,CA,Aliso Viejo,Y
949-200-8572,NY,New York,Y
212-456-4228,IL,Schaumburg,N
847-999-2081,NJ,Vineland,N
856-372-9188,RI,Providence,Y
401-463-6316,TX,Fort Worth,Y
817-764-2750,CA,San Ramon,Y
925-775-2185,PA,West Chester,Y
610-907-6244,SD,Aberdeen,Y
605-809-2419,WI,Milwaukee,Y
414-654-5648,DC,Washington,N
202-277-6471,MA,Fall River,N
508-851-2653,WI,Abbotsford,N
715-520-9217,AK,Anchorage,Y
907-345-6287,CA,South San Francisco,Y
650-350-8283,VA,Mc Lean,Y
703-582-2189,FL,Vero Beach,Y
772-914-4436,IL,Waukegan,N
847-377-8138,NJ,Spotswood,N
732-303-2784,WA,Seattle,Y
206-735-4007,PA,Norristown,Y
610-805-3376,NJ,Plainfield,Y
908-659-2725,NJ,Wyckoff,Y
201-307-3411,FL,Satellite Beach,Y
321-880-4435,RI,Cranston,Y
401-404-9414,KS,Derby,N
316-795-7210,TX,El Paso,N
915-364-6899,NJ,Jersey City,N
201-520-4523,AK,Anchorage,Y
907-858-8970,MO,Columbia,Y
573-776-9166,CA,Pleasanton,Y
925-445-2397,TX,Rowlett,Y
972-656-3523,MD,College Park,N
301-925-7411,NJ,Deptford,N
856-702-7016,OH,Burton,Y
440-384-3327,MD,Easton,Y
410-385-4588,NY,Brooklyn,Y
718-472-2230,CA,San Leandro,Y
510-273-7885,MI,Spring Lake,Y
616-505-9122,WA,Wenatchee,Y
509-297-4366,OH,Toledo,N
419-987-3720,NY,New York,N
212-518-1145,CA,Santa Barbara,N
805-508-4469,TX,Houston,Y
713-451-5949,NY,Rochester,Y
585-848-2335,FL,Boca Raton,Y
561-986-1053,NY,Flushing,Y
718-334-9642,VA,Annandale,N
703-859-8689,MO,Saint Louis,N
314-213-6908,OH,Cincinnati,Y
513-653-3636,CO,Denver,Y
303-754-2810,FL,Hialeah,Y
305-722-1617,ID,Boise,Y
208-411-5708,AK,Wasilla,Y
907-679-4763,NY,Watertown,Y
315-392-3563,OR,Portland,N
503-602-4514,MA,Worcester,N
508-831-2355,IL,Roscoe,N
815-398-7498,NJ,Little Falls,Y
973-967-8906,PA,Bala Cynwyd,Y
610-895-2684,FL,Miami,Y
305-348-2186,NY,Johnson City,Y
607-294-5587,NV,Reno,N
775-879-6970,TX,Austin,N
512-410-8517,NY,Troy,Y
518-758-1253,CT,Stamford,Y
203-492-2302,NJ,West Orange,Y
973-205-6365,LA,Lafayette,Y
337-238-3004,NJ,Bayonne,Y
201-493-7013,ID,Nampa,Y
208-509-1645,CA,Pittsburg,N
925-812-6001,PA,Holmes,N
610-890-9489,NY,Mount Vernon,N
914-259-7335,WI,Butler,Y
262-934-4658,CA,Palo Alto,Y
650-804-4053,KS,Wichita,Y
316-764-5013,VA,Newport News,Y
757-452-2330,NY,Bronx,N
718-312-6541,ME,Portland,N
207-874-6685,NV,Las Vegas,Y
702-580-4800,CA,Oakdale,Y
209-382-9238,OK,Tulsa,Y
918-235-2781,NJ,Hackensack,Y
201-506-8368,AZ,Tempe,Y
480-569-5332,FL,Tampa,Y
813-811-8790,NY,Olean,N
716-461-3686,OH,Cleveland,N
440-579-1008,CA,San Jose,N
408-484-3606,CA,Emeryville,Y
510-299-8526,IL,Schaumburg,Y
847-617-9110,AK,Anchorage,Y
907-775-2348,PA,Philadelphia,Y
215-944-3378,GA,Warner Robins,N
478-902-8619,NY,New York,N
212-576-6059,MI,Pinckney,Y
734-778-7701,MI,Roseville,Y
586-331-7459,MI,Alpena,Y
989-838-9654,CO,Commerce City,Y
303-346-4472,SC,Columbia,Y
803-257-5255,CO,Colorado Springs,Y
719-955-1245,MI,Bessemer,N
906-363-8440,WI,Milwaukee,N
414-446-1366,CO,Denver,N
303-252-1369,MA,Palmer,Y
413-283-6878,IN,Fort Wayne,Y
260-869-7152,AZ,Glendale,Y
623-688-2722,NY,Webster,Y
585-521-3421,IL,Waukegan,N
847-690-3194,AK,Anchorage,N
907-948-1812,CT,Stamford,Y
203-580-3885,NY,Staten Island,Y
718-536-2747,NY,Farmingdale,Y
516-268-3118,NJ,Trenton,Y
609-671-9133,CT,Stamford,Y
203-977-3165,CA,Temecula,Y
951-737-1649,CA,Rancho Mirage,N
760-610-2891,FL,Boynton Beach,N
561-353-6283,AK,Anchorage,N
907-476-9210,NY,Flushing,Y
718-927-6857,OH,Toledo,Y
419-500-9739,NJ,Rocky Hill,Y
609-555-5192,MD,Baltimore,Y
410-783-8243,LA,Lafayette,N
337-953-7759,CA,Covina,N
626-862-6515,CA,San Jose,Y
408-360-5335,CA,Palm Desert,Y
760-991-7179,MD,Baltimore,Y
410-965-6331,AK,Anchorage,Y
907-533-7556,TX,Richardson,Y
972-255-1457,LA,Abbeville,Y
337-980-1749,FL,Gainesville,N
352-689-3925,OH,Toledo,N
419-716-5317,TX,Quanah,N
254-875-7185,NJ,Marlton,Y
856-743-1078,IL,Palatine,Y
847-759-1453,CO,Colorado Springs,Y
719-791-3046,MD,Silver Spring,Y
301-939-6878,VA,Virginia Beach,N
757-527-6086,NJ,Cherry Hill,N
856-930-1738,MD,Waldorf,Y
301-329-5236,UT,Salt Lake City,Y
801-899-9556,IL,Chicago,Y
773-363-7817,PA,Pennsburg,Y
215-678-3660,NJ,Kearny,Y
201-996-3174,CA,San Francisco,Y
415-301-7097,CA,Bakersfield,N
661-745-3501,CA,Camarillo,N
805-736-2303,NJ,Deptford,N
856-473-4551,WI,Madison,Y
608-492-3494,CA,Lawndale,Y
310-554-4031,NE,Lincoln,Y
402-364-3444,NV,Las Vegas,Y
702-973-5684,NJ,Clifton,N
973-302-2360,NJ,Fairfield,N
973-213-1691,CA,San Francisco,Y
415-247-4044,NJ,Paterson,Y
973-277-2852,WI,New Berlin,Y
262-352-7994,CA,Gardena,Y
310-544-3349,CA,Rancho Cordova,Y
916-693-7587,NJ,Middlesex,Y
732-670-3774,PA,Clarks Summit,N
570-349-3110,CA,Westminster,N
714-733-1219,TX,Lone Star,N
903-444-6285,PA,Lancaster,Y
717-958-2750,PA,Easton,Y
610-283-7358,NJ,Monmouth Junction,Y
732-411-9590,IL,Chicago,Y
773-647-8826,NY,Syracuse,N
315-256-8111,NY,Syracuse,N
315-763-5231,WI,Abbotsford,Y
715-989-7014,OH,Cleveland,Y
216-740-5590,CA,Huntington Park,Y
323-507-2036,PA,Scranton,Y
570-339-9393,GA,Atlanta,Y
770-930-5066,OH,Dayton,Y
937-534-5768,IN,Indianapolis,N
317-417-6393,MO,Saint Louis,N
314-920-9990,NY,New York,N
212-402-1275,NJ,Verona,Y
973-533-4116,NJ,Marlton,Y
856-552-1689,TX,Grapevine,Y
817-339-9573,MI,Roseville,Y
586-562-5370,TX,Houston,N
281-769-3207,PA,Fort Washington,N
215-299-4122,PA,Wyncote,Y
215-770-1783,MI,Clinton Township,Y
586-340-3532,CA,Grass Valley,Y
530-759-7734,IL,Highland Park,Y
847-523-3615,CT,Stamford,Y
203-233-4314,MI,Grand Rapids,Y
616-568-4950,OH,Columbus,N
614-359-3416,NJ,Fairfield,N
973-899-3034,NJ,Plainfield,N
908-684-3803,MI,Lansing,Y
517-423-5361,CA,Bakersfield,Y
661-614-1949,CA,Anaheim,Y
714-279-8047,TX,McKinney,Y
972-641-1350,OH,Cleveland,N
216-571-7405,IL,Kankakee,N
815-642-4858,MA,Cambridge,Y
617-548-8459,CA,Saint Helena,Y
707-461-6603,CA,South Pasadena,Y
626-877-6057,AK,Anchorage,Y
907-242-1166,HI,Aiea,Y
808-278-5997,CA,San Mateo,Y
650-737-5680,MI,Royal Oak,N
248-276-8356,AK,Anchorage,N
907-805-7791,PA,Philadelphia,N
215-532-7744,CA,Clovis,Y
559-469-8040,CO,Colorado Springs,Y
719-283-9869,ME,Ellsworth,Y
207-505-9609,MI,Holland,Y
616-812-1659,PA,Pittsburgh,N
412-800-9370,NY,Rochester,N
585-309-7838,PA,Hatfield,Y
215-207-4451,KY,Prestonsburg,Y
606-649-1445,NY,Medford,Y
631-754-7606,NJ,Merchantville,Y
856-576-7376,MD,Waldorf,Y
301-636-7904,CA,Winnetka,Y
818-412-3451,FL,Miami,N
305-439-6307,FL,Lake Mary,N
407-489-6537,OH,Akron,N
330-499-5085,KS,Abilene,Y
785-752-5976,NC,Raleigh,Y
919-905-6719,CA,Anaheim,Y
714-867-4249,MI,Ann Arbor,Y
734-821-3990,IL,Chicago,N
773-959-9155,CA,Sacramento,N
916-771-4007,CA,Fair Oaks,Y
916-801-7141,PA,Erie,Y
814-498-9389,CA,South Gate,Y
323-668-6440,CO,Denver,Y
303-250-6456,PA,Wynnewood,Y
610-354-7179,HI,Honolulu,Y
808-578-7521,DC,Washington,N
202-807-5410,CA,Novato,N
415-800-4586,AZ,Phoenix,N
602-839-7494,PA,Reading,Y
610-250-4406,PA,Camp Hill,Y
717-522-8496,AZ,Phoenix,Y
602-697-2536,CA,Santa Ana,Y
714-240-5187,OH,Cleveland,N
216-560-8281,NC,Greensboro,N
336-821-6243,MO,Springfield,Y
417-293-3682,NY,Flushing,Y
718-779-5903,MA,Easton,Y
508-469-1413,NJ,Trenton,Y
609-888-8996,OH,Willoughby,Y
440-776-1916,TN,Jackson,Y
731-290-7313,OH,Cleveland,N
216-841-2193,MD,Bel Air,N
410-708-6799,CA,South San Francisco,N
650-920-1988,GA,Trion,Y
706-457-9079,FL,Tampa,Y
813-406-5274,PA,Philadelphia,Y
215-392-4510,AZ,Mesa,Y
480-386-3311,TX,El Paso,N
915-731-7788,CA,Santa Rosa,N
707-714-2326,LA,Arabi,Y
504-502-7433,OH,Cincinnati,Y
513-762-6592,MI,Inkster,Y
313-485-7171,CA,San Jose,Y
408-251-2311,FL,West Palm Beach,Y
561-598-5833,MI,Southfield,Y
248-397-2486,NJ,Neptune,N
732-312-6209,CA,San Luis Obispo,N
805-447-4946,MN,Maple Lake,N
320-430-1710,NJ,Ramsey,Y
201-200-8642,OH,Toledo,Y
419-300-1792,MI,Alpena,Y
989-947-3977,CA,Montclair,Y
909-763-1416,IN,Fishers,N
317-574-7548,CA,Oroville,N
530-358-6106,HI,Honolulu,Y
808-375-3839,CO,Littleton,Y
303-538-1538,VA,Arlington,Y
703-434-1353,ME,Portland,Y
207-364-9234,CA,Encino,Y
818-241-7415,NY,Middletown,Y
845-436-1092,NJ,Linden,N
908-514-7065,CO,Denver,N
303-853-3949,NY,Amityville,N
631-475-8802,CA,Monterey,Y
831-722-5434,FL,Tarpon Springs,Y
727-944-8493,OK,Durant,Y
580-601-4183,TX,El Paso,Y
915-222-8043,CA,Santa Clara,N
408-660-3785,CA,Fresno,N
559-679-8646,AR,Little Rock,Y
501-331-5868,PA,Southampton,Y
215-550-7483,MI,Lansing,Y
517-783-5514,MS,Ridgeland,Y
601-927-3767,TX,McKinney,Y
972-256-5507,TX,McKinney,Y
972-921-5287,CA,Mission Viejo,N
949-320-4977,CA,Santa Cruz,N
831-810-9520,LA,New Orleans,N
504-497-8088,WI,Madison,Y
608-277-7574,NJ,Fairfield,Y
973-710-9367,TX,Waco,Y
254-733-3549,OH,Toledo,Y
419-389-1588,CA,Santa Barbara,N
805-840-2072,MD,Baltimore,N
410-814-6932,IL,Evanston,Y
847-684-7162,KS,Newton,Y
316-966-7580,NJ,Perth Amboy,Y
732-975-7169,OH,Findlay,Y
419-333-9140,TX,Fort Worth,Y
817-819-7818,CO,Aurora,Y
303-486-2676,MA,East Longmeadow,N
413-408-1289,WA,Seattle,N
206-265-6043,CA,Beverly Hills,N
310-768-3457,MO,Saint Louis,Y
314-731-3815,NJ,Trenton,Y
609-448-7281,NJ,Garfield,Y
973-667-9819,MI,Grand Rapids,Y
616-948-9902,CA,Carmel Valley,N
831-877-9348,GA,Augusta,N
706-339-3357,NY,Brooklyn,Y
718-736-1049,NJ,Elizabeth,Y
908-296-7819,CO,Englewood,Y
303-738-3023,NJ,Ridgefield Park,Y
201-711-9744,PA,Camp Hill,Y
717-350-5487,MN,Rochester,Y
507-749-3625,TX,Mesquite,N
972-612-2254,WA,Kent,N
206-255-3790,NJ,Dover,N
973-388-3901,OK,Lawton,Y
580-665-8984,WA,Bothell,Y
425-271-5281,MD,Lutherville Timonium,Y
410-283-4230,AR,Conway,Y
501-432-4335,FL,Seffner,N
813-313-1099,PA,Ephrata,N
717-966-8990,IN,Indianapolis,Y
317-582-1688,WI,Madison,Y
608-837-9484,NV,Las Vegas,Y
702-526-4120,OH,Urbana,Y
937-290-8465,NY,Brooklyn,Y
718-726-9299,LA,New Orleans,Y
504-340-4911,HI,Waipahu,N
808-349-4829,CA,San Francisco,N
415-260-3568,IL,Chicago,N
773-978-8124,HI,Honolulu,Y
808-738-5293,CA,San Leandro,Y
510-380-4181,WA,Tacoma,Y
253-998-5594,TX,McKinney,Y
972-245-9720,RI,Warwick,N
401-792-6037,FL,Tampa,N
813-818-3590,IL,Bensenville,Y
630-618-4417,MO,Jefferson City,Y
573-778-7045,AK,Wasilla,Y
907-585-5531,CA,Long Beach,Y
562-356-8714,OH,Strongsville,Y
440-334-4258,CA,Los Angeles,Y
323-334-4523,CA,Santa Barbara,N
805-952-7288,NY,Staten Island,N
718-911-3650,IN,Muncie,N
765-727-6659,IL,Rockford,Y
815-654-7757,OR,Eugene,Y
541-705-6131,CO,Colorado Springs,Y
719-340-1029,AZ,Phoenix,Y
602-382-6941,NY,Long Island City,N
718-688-3226,CA,Redwood City,N
650-552-4456,CA,Livermore,Y
925-408-9321,WI,Neenah,Y
920-203-3759,VA,Arlington,Y
703-341-8499,CT,Bridgeport,Y
203-428-9491,CA,Anaheim,Y
714-239-8700,NJ,Cedar Grove,Y
973-387-3125,LA,Broussard,N
337-624-8482,MO,Kansas City,N
816-823-2533,OH,Columbus,N
614-413-9165,AZ,Peoria,Y
623-681-2918,NJ,Pleasantville,Y
609-480-3439,MI,Ann Arbor,Y
734-939-2352,CA,Cerritos,Y
562-606-9299,NJ,Trenton,N
609-614-8236,NV,Las Vegas,N
702-745-5226,NY,Freeport,Y
516-406-5110,DC,Washington,Y
202-465-5270,WI,Milwaukee,Y
414-915-3284,ME,Ellsworth,Y
207-984-1112,RI,Providence,Y
401-215-7967,CA,Los Gatos,Y
408-341-7877,CO,Denver,N
303-374-3974,TX,Eagle Pass,N
830-685-2947,HI,Honolulu,N
808-592-9686,NY,New York,Y
212-923-1967,CA,San Francisco,Y
415-538-7141,IL,Sullivan,Y
217-482-3567,MI,East Lansing,Y
517-243-3781,NJ,Rockaway,N
973-549-2548,MA,Everett,N
617-382-3679,NJ,Lakewood,Y
732-451-1772,KS,Abilene,Y
785-251-8169,FL,Leesburg,Y
352-871-7133,PA,Philadelphia,Y
215-949-7013,MN,Minneapolis,Y
612-401-2717,DC,Washington,Y
202-810-2639,KY,Owensboro,N
270-347-6643,NE,Mc Cook,N
308-571-7596,FL,Kissimmee,N
407-206-9887,SC,Spartanburg,Y
864-301-4621,FL,Ocala,Y
352-662-1623,MI,Cadillac,Y
231-286-7731,CA,Belmont,Y
650-894-7250,NJ,Bayonne,N
201-805-9231,CA,Monterey,N
831-563-3660,NY,Lindenhurst,Y
631-266-3362,RI,Pawtucket,Y
401-849-2267,NJ,Matawan,Y
732-871-3077,PA,Erie,Y
814-319-7226,NJ,Mount Holly,Y
609-287-4050,NJ,Berlin,Y
856-353-6910,NC,Dunn,N
910-770-3662,NV,Las Vegas,N
702-880-1010,IL,Gilberts,N
847-541-5190,PA,Malvern,Y
610-982-4290,NY,New York,Y
212-258-5323,ID,Boise,Y
208-550-1606,TN,Tullahoma,Y
931-955-2866,FL,Vero Beach,N
772-555-6279,MO,Maryland Heights,N
314-933-8306,PA,Horsham,Y
215-759-8703,SC,West Columbia,Y
803-320-7646,CA,Monrovia,Y
626-293-3166,CO,Aurora,Y
303-733-6141,CA,Bakersfield,Y
661-481-4792,VA,Blue Ridge,Y
540-597-2092,VA,Mc Lean,N
703-955-1097,IA,Davenport,N
563-847-8954,CA,Lancaster,N
661-281-6016,NC,Mooresville,Y
704-251-1190,TN,Memphis,Y
901-961-4303,MO,Springfield,Y
417-754-3410,HI,Aiea,Y
808-278-7721,CT,East Haven,N
203-651-8811,PA,Philadelphia,N
215-610-9656,PA,Langhorne,Y
215-622-2905,MD,Baltimore,Y
410-801-5616,TX,Waco,Y
254-964-2042,MD,Gaithersburg,Y
301-634-7842,CA,Huntington Park,Y
323-822-1391,PA,Philadelphia,Y
215-450-1329,WI,Sheboygan,N
920-467-6662,CO,Evergreen,N
303-795-1478,AK,Nome,N
907-645-7861,NJ,Newark,Y
973-542-9836,CA,Hayward,Y
510-374-3379,PA,Indiana,Y
724-545-2525,TX,Irving,Y
972-404-8872,IL,Chicago,N
312-433-4400,NY,Olean,N
716-334-3003,NJ,Deptford,Y
856-640-2498,CA,Stanton,Y
714-967-2453,MD,Columbia,Y
410-616-7779,HI,Mililani,Y
808-924-8118,TX,Temple,Y
254-533-3661,CA,Glendale,Y
818-303-2679,PA,Philadelphia,N
215-224-8329,NC,Sanford,N
919-421-2952,MT,Miles City,N
406-252-8807,LA,Harvey,Y
504-818-3663,CA,Lakeport,Y
707-512-7402,DE,Wilmington,Y
302-903-8051,CA,Yuba City,Y
530-478-6797,CA,San Jose,N
408-514-5801,AR,Conway,N
501-941-3652,MI,Ortonville,Y
248-561-1909,NY,Jamestown,Y
716-695-9683,RI,Warwick,Y
401-581-3595,OR,Portland,Y
503-626-2642,CA,Gardena,Y
310-869-9487,MI,Kalamazoo,Y
269-892-7408,IN,Indianapolis,N
317-463-6151,PA,Wallingford,N
610-944-5348,OH,Youngstown,N
330-508-6996,CA,Bakersfield,Y
661-292-6321,OK,Muskogee,Y
918-687-5463,WA,Ephrata,Y
509-832-5448,NJ,Rockaway,Y
973-906-6295,CA,Long Beach,N
562-271-6143,WA,Wenatchee,N
509-913-5531,IL,Chicago,Y
773-443-7679,TN,Memphis,Y
901-346-5460,WA,Yakima,Y
509-585-2640,MA,Somerville,Y
617-207-7233,OH,Cincinnati,Y
513-348-2516,TX,Levelland,Y
806-548-1608,CA,Hesperia,N
760-579-8828,MD,Frederick,N
301-497-2185,CA,Northridge,N
818-891-3378,NY,Staten Island,Y
718-277-9860,CA,Altadena,Y
626-680-3886,IL,Chicago,Y
773-237-7113,CA,Riverside,Y
951-765-4070,MA,Leominster,N
978-952-3671,MD,Baltimore,N
410-681-9117,NJ,Old Bridge,Y
732-532-1836,IL,Chicago,Y
773-322-4236,NE,Lincoln,Y
402-553-3056,NY,New York,Y
212-958-1904,PA,Broomall,Y
610-259-6902,OH,Toledo,Y
419-684-6089,NJ,Hammonton,N
609-603-1787,SC,Lexington,N
803-860-3353,CA,Hayward,N
510-458-7442,PA,Reading,Y
610-505-6495,PA,Pottsville,Y
570-353-6518,MD,Derwood,Y
301-340-6189,OK,Ada,Y
580-938-3391,NY,New York,N
212-521-3381,MT,Lewistown,N
406-419-8990,NJ,Ramsey,Y
201-795-5693,MA,Boston,Y
617-410-7168,IN,Evansville,Y
812-494-8048,MI,Ann Arbor,Y
734-935-3911,TX,Mesquite,Y
972-366-1620,OK,Oklahoma City,Y
405-666-3355,MN,Shakopee,N
952-887-5004,LA,Lafayette,N
337-437-7888,TX,Irving,N
972-665-4060,CA,Monterey,Y
831-768-1104,PA,Philadelphia,Y
215-633-9373,NJ,Freehold,Y
732-675-8013,CA,Concord,Y
925-789-1049,CA,San Jose,N
408-770-5104,PA,Allentown,N
610-925-2549,CO,Colorado Springs,Y
719-496-2013,WI,Appleton,Y
920-762-8635,PA,Bensalem,Y
215-570-3369,FL,Tallahassee,Y
850-802-4699,NY,Rochester,Y
585-400-3262,MI,Royal Oak,Y
248-319-3450,OH,Ashtabula,N
440-432-7082,PA,Scranton,N
570-713-1227,KS,Larned,N
620-970-5404,NJ,Bridgewater,Y
908-472-8519,TX,Bryan,Y
979-573-3798,OH,Cincinnati,Y
513-322-7254,MD,Fort Washington,Y
301-714-8774,OH,Warren,N
330-241-9578,PA,Denver,N
717-752-8980,MD,Baltimore,Y
410-786-1347,ME,Portland,Y
207-860-4396,NY,Brooklyn,Y
718-737-4401,OH,Middletown,Y
513-371-2755,NJ,Elizabeth,Y
908-695-9205,MA,Dedham,Y
781-874-1864,MA,Randolph,N
781-253-2018,CA,San Francisco,N
415-839-2665,NJ,Jersey City,N
201-247-7598,CA,San Jose,Y
408-867-7950,MD,Pikesville,Y
410-241-9694,NJ,Ridgefield,Y
201-881-9066,NJ,Grenloch,Y
856-890-5655,NJ,Lakewood,N
732-248-3693,PA,Philadelphia,N
215-914-9676,CA,San Leandro,Y
510-447-4944,AK,Anchorage,Y
907-698-8997,OH,Cincinnati,Y
513-640-8361,PA,Ambler,Y
215-613-7782,MD,Havre de Grace,Y
