EMAIL,CORPORATE,CITY,COMPANY,DISCOUNT
bvredeveld@aol.com,Y,Denver,Hmc Printing,0.1
ruthe.tappan@gmail.com,Y,Wheeling,Stanfast Standard Register Co,0.05
shiela_brubaker@cox.net,Y,Alexandria,"Rendell, Marc Md",0.1
vannessa_kacher@yahoo.com,Y,Lafayette,Quality Products,0.075
natosha@carrabine.org,Y,Forest Park,Gillies Coffee,0.1
jodee.rudolph@rudolph.org,Y,Schulenburg,Saf Products,0.05
larita_morishito@gmail.com,Y,Minneapolis,Dit Mco/testsystems,0.1
augustus.vermeulen@hotmail.com,Y,Miami,"Kleiman, Howard Esq",0.075
forrest_noftsier@hotmail.com,Y,Saint Louis,Superior Home Health/hospice,0.2
aurelio.gourdin@hotmail.com,Y,Sun Valley,"Magenheimer, Richard Md",0.1
vcarrin@cox.net,Y,Chico,American Federation Teachers,0.1
faith_krantz@cox.net,Y,Southfield,Carlsons Glass & Mirror Co Inc,0.05
tommy_grussing@yahoo.com,Y,Abilene,"Rovig, Steven R Esq",0.1
leisha_bramham@cox.net,Y,New Orleans,Swain Hartshorn & Scott,0.075
mhainey@hotmail.com,Y,New York,H20 Engrg Consltng Assoc Inc,0.1
cristina.walto@gmail.com,Y,Levittown,Green Marketalert,0.05
bradly@dutkiewicz.org,Y,Belmont,A 2 Z Products Inc,0.1
ssarnoff@cox.net,Y,Abbeville,"Dubow, Tod R Esq",0.075
ktolfree@yahoo.com,Y,Southfield,Advanced Rug Serv,0.2
bobbie@tubby.com,Y,Seymour,Chused Bini Kohn Feldmann,0.1
alane@cox.net,Y,Brockport,Aer Ex Excavating Inc,0.1
waneta@whitemore.org,Y,New York,Top Of The Mark,0.05
tory@starzyk.com,Y,Freehold,"Ropan, Harvey Cpa",0.1
sharonda@cox.net,Y,Milwaukee,Mccracken Taylor & Nelson Pc,0.075
thurman.lampkin@lampkin.org,Y,Sacramento,Canary Travel & Tour Co,0.1
barbie_goewey@goewey.org,Y,Broken Arrow,Art Floor Inc,0.05
maud.wahington@hotmail.com,Y,Memphis,"Comstock, Russell A Esq",0.1
serina.yupe@hotmail.com,Y,Brooklyn,Commons Auto Supply,0.075
lbodrick@hotmail.com,Y,Palatine,American Meat Packing Corp,0.2
raymon@cox.net,Y,Toledo,Packaging Systems Intrntl,0.1
shoshana_powlen@gmail.com,Y,Abilene,"Mai, John J Sra",0.1
marx_baruffa@baruffa.org,Y,Elyria,Ryley Carlock & Applewhite,0.05
sutsey@hotmail.com,Y,Salem,"Tarmey, Patrick Esq",0.1
vikki.yochem@gmail.com,Y,Pflugerville,We Fit Shop,0.075
rod@gmail.com,Y,Orange,Timothy C Merrell,0.1
merrilee@yahoo.com,Y,Beckley,Wisconsin Pharmacal Co Inc,0.05
keshia@yahoo.com,Y,Lusby,Omega Pultrusions Inc,0.1
myrtice_stamnos@stamnos.com,Y,Haverhill,"Molotsky, Harold S Esq",0.075
perry@raelson.com,Y,Juneau,Flemington Buick Chevy Geo,0.2
alease_dillmore@aol.com,Y,Wheeling,Forsyth Steel Co,0.1
hong.reaser@aol.com,Y,Colorado Springs,Gary Williams Parenti Finney,0.1
molly_shadow@cox.net,Y,San Diego,Fireline Inc,0.05
asmalt@smalt.com,Y,Chicago,Hamilton Misfeldt & Company,0.1
ginny_croghan@croghan.org,Y,Hackensack,Orans Hair Weaving Salon,0.075
france@yahoo.com,Y,Indianapolis,Aaa Advertising & Awards,0.1
anya@bray.org,Y,Langhorne,Gilroy Sheet Metal Inc,0.05
augustine_beith@gmail.com,Y,North Hollywood,American Historical Foundation,0.1
adah.bonnette@gmail.com,Y,Los Angeles,Burbidge & Mitchell,0.075
kaurich@aol.com,Y,New York,Moda Magnetics Corp,0.2
marva.sigworth@cox.net,Y,New Orleans,"Kelleher, James J Esq",0.1
nana_hoverson@gmail.com,Y,Riverside,Focus Publishing,0.1
luanna_helfer@helfer.com,Y,Staten Island,Richard J Mulligan,0.05
jenniffer_droessler@aol.com,Y,New York,Jones Stillerman & Co Inc,0.1
donella_hemmings@gmail.com,Y,Richmond,Family & Childrens Svc N Essex,0.075
lura_hua@hotmail.com,Y,New York,Crescent Metal Products Co,0.1
andera_schurg@gmail.com,Y,Arlington,Frontz Drilling Inc,0.05
laquita@klepchick.com,Y,Burnet,D & H Distributing Co Nw,0.1
cfrenz@frenz.org,Y,Hays,"Bates, James E",0.075
ronald_piro@gmail.com,Y,Little Rock,Graphic Arts Engraving Co,0.2
ivonne@groseclose.com,Y,Buffalo,Bella Vista Window Cleaning,0.1
neoma.vandover@cox.net,Y,Phoenix,Spencer Gleason Hebe & Rague,0.1
drucilla@gmail.com,Y,Destin,"Herzog, Wendy A Esq",0.05
tobie_milhoan@hotmail.com,Y,Anaheim,B C S Machine Mfg Corp,0.1
tess.trimarco@yahoo.com,Y,Frederick,"Marchetta, Patrick A Aia",0.075
fannie.dennin@dennin.com,Y,Cantonment,First Interstate Bank Denver,0.1
jeannetta@gmail.com,Y,Woodbridge,"Garceau, John L",0.05
cierra_mcnees@aol.com,Y,South El Monte,Cmi Business Products Center,0.1
madeleine@aol.com,Y,Appleton,Lakeside Building Products Inc,0.075
theodora.zezima@zezima.com,Y,Milpitas,Wesco Trailer Sales,0.2
ccascone@cascone.com,Y,Thousand Oaks,Koch International Travel Inc,0.1
damaris.guerrouxo@yahoo.com,Y,Greenwich,Everetts Refrigeration & Equip,0.1
vonnie_lockbaum@gmail.com,Y,Summit Argo,Tankar Stations,0.05
lemuel_schaubhut@gmail.com,Y,Towson,"Demos, Michael S",0.1
marissa@nickenberry.org,Y,New York,Allison Mfg Co,0.075
lavone.gehrki@gehrki.org,Y,New York,"Bertain, G Joseph Jr",0.1
duncan_scott@scott.org,Y,Columbia,Advanced Overhead Door,0.05
jeanice_sultana@aol.com,Y,Clifton Park,"Capecelatro, S J Iii",0.1
charline_muffoletto@muffoletto.org,Y,Philadelphia,State Farm Insurance Co,0.075
milford@yahoo.com,Y,Philadelphia,Izzy Electrical Contractors,0.2
mnovellino@cox.net,Y,Traverse City,"Coleman, William V Esq",0.1
paola_santoli@santoli.com,Y,Rochester,"Liotta, Robert C Esq",0.1
cwhelihan@hotmail.com,Y,Anaheim,Chadds Ford Winery,0.05
lisbeth_ofallon@ofallon.com,Y,Philadelphia,"Brennan, H R Esq",0.1
lucretia@hotmail.com,Y,Evergreen Park,Progressive Pattern Works Inc,0.075
vsquillace@gmail.com,Y,Philadelphia,Churchville Florist,0.1
lael@cox.net,Y,Middle Island,"Loudon, Timothy D Esq",0.05
tamie.yanofsky@yanofsky.com,Y,Wayland,"Ross, Robert M Esq",0.1
delicia_huenergardt@huenergardt.com,Y,Westville,F A O Schwarz,0.075
dbaarts@hotmail.com,Y,Chicago,Exhibit Gallery,0.2
alverta.beylotte@hotmail.com,Y,Baltimore,Monroe Mechanical Cntrctng Inc,0.1
zonia.fauscett@yahoo.com,Y,Aberdeen,Chgo Lawyer,0.1
ashley.pirkl@yahoo.com,Y,Redwood City,Davis Manufacturing Co,0.05
jeannette@hotmail.com,Y,White Plains,Orthopaedic Physical Therapy,0.1
ytahir@aol.com,Y,Pottstown,"Schwarz, Frederick D Esq",0.075
peter.anastasiades@anastasiades.com,Y,Easton,"Kanette, Conrad Huyett Esq",0.1
maida_letizia@cox.net,Y,New York,Hirel Connector Inc,0.05
jewel.raymos@raymos.org,Y,Scottsdale,Napier Fitzgerald & Kirby,0.1
bansbro@aol.com,Y,Levittown,Cohen Massaro Saltzman & Co,0.075
candi_woytowich@gmail.com,Y,Phoenix,"Taggart, William D Esq",0.2
mruhman@aol.com,Y,Madison Heights,Peters Shorthand Reporting,0.1
stanley@stingle.org,Y,Milwaukee,Usair,0.1
collette.ogami@ogami.com,Y,Kailua Kona,"Fay, Philip E Esq",0.05
joannie_mundwiller@gmail.com,Y,Lafayette,Kian Corp,0.1
lissa@cox.net,Y,Waukesha,"Dunleavy, Thomas",0.075
tynisha@gmail.com,Y,Hayward,"Razzoog, Michael E Dds",0.1
clemencia_bacigalupo@bacigalupo.org,Y,Staten Island,Endico Potatoes Inc,0.05
shanda.pascoe@pascoe.com,Y,Greenville,Amsterdam News,0.1
isabel_maldanado@gmail.com,Y,Kearny,Hayashi For Hair Inc,0.075
maureen_chollett@yahoo.com,Y,Philadelphia,Kinemetrics Inc,0.2
annie.terpstra@terpstra.org,Y,Las Vegas,Container Fabricators Corp,0.1
tbeierschmitt@cox.net,Y,Matawan,John Jiffy Co Inc,0.1
beula_depolo@yahoo.com,Y,Boise,Midwest Irrigation,0.05
adan_damewood@aol.com,Y,Oklahoma City,Keco Industries Inc,0.1
keely_palko@aol.com,Y,Roseland,"Aitken, Hugh J Esq",0.075
simonne.rivelli@rivelli.com,Y,Edinburg,Pc Doctor,0.1
argelia.cheung@hotmail.com,Y,Santa Cruz,Sign Wizard Northgate,0.05
simon.groupe@hotmail.com,Y,Columbus,Dodge Colors Image Center,0.1
doreatha@hotmail.com,Y,San Francisco,"Armstrong, Janice W",0.075
carleen@kosbab.com,Y,Bemidji,Cypress Landing Rstrnt & Lng,0.2
virgilio.witthoft@witthoft.org,Y,Princeton Junction,"Beshara, Edward Pa",0.1
yuki.mosakowski@mosakowski.com,Y,Crowley,C & J True Value Glass & Hdwr,0.1
chet.rodman@rodman.org,Y,Madison Heights,Nls Systems Nc,0.05
felisa.notowich@notowich.org,Y,Long Beach,Barnes Richardson & Colburn,0.1
jannet@crockwell.org,Y,Baltimore,Pias Antique Gallery,0.075
joanne_chirco@gmail.com,Y,Netcong,D & D Group,0.1
marisha_leggio@leggio.com,Y,Atlanta,"Mandel, David S Esq",0.05
nita_gomaz@hotmail.com,Y,Clackamas,"Hall, Ronald A",0.1
splesnarski@plesnarski.com,Y,Phoenix,"Richards, David W Md",0.075
kandis.grassman@grassman.org,Y,Youngstown,Shine,0.2
mirella_holzer@gmail.com,Y,Boulder,"Bramschreiber, Jeff Cpa",0.1
dean.haydt@haydt.com,Y,Fall River,Brandys Fashions,0.1
sedeker@yahoo.com,Y,New York,International Dairy Queen Inc,0.05
cyoxall@yoxall.org,Y,Dallas,Lifestyle Creations Inc,0.1
cesar_bracero@aol.com,Y,Tampa,Europa Imports & Consulting,0.075
nicholle@hotmail.com,Y,Burbank,Pac Stainless Ltd,0.1
anisa@gmail.com,Y,Van Nuys,"Dale, Kimsey R Esq",0.05
maxima@gmail.com,Y,San Anselmo,Coordinating Cncl For Sr,0.1
lpepitone@yahoo.com,Y,Highland Park,Frank P Licato Agency,0.075
madelaine_dirico@aol.com,Y,Parsippany,Allstate Insurance Companies,0.2
noel.rayborn@aol.com,Y,Reading,Martin Zippel Co Inc,0.1
art_bilecki@cox.net,Y,Springfield,Bronxwood Realty Assocs Inc,0.1
vasiliki.moroney@cox.net,Y,King of Prussia,Alpine Paper Recycling Inc,0.05
dworm@yahoo.com,Y,Aiea,Psc Automotive Distributing,0.1
milan_mccarroll@gmail.com,Y,Orange City,"Burke, Stephen H Esq",0.075
odessa_stridiron@aol.com,Y,Jacksonville,Connell Cabinets Inc,0.1
lbein@aol.com,Y,Spring Lake,"Waldrop, Jerry E Esq",0.05
theressa@hotmail.com,Y,Waco,Fsco,0.1
lorriane@yahoo.com,Y,Monmouth Junction,Management Decision Systems,0.075
chantal@yahoo.com,Y,Lincoln,"Tanaka, Philip N Esq",0.2
malcolm@gmail.com,Y,Staten Island,John L Kelly Jr & Associates,0.1
janita@hotmail.com,Y,New York,"Apple, Jerome E",0.1
sau@hollabaugh.org,Y,Palmdale,Porters Steakhouse,0.05
deandre@hotmail.com,Y,Orlando,"Sullivan, Julie H Esq",0.1
rschenker@schenker.com,Y,Anchorage,Taylors Steel & Welding Inc,0.075
huong@lauenroth.org,Y,Orange,"Sullivan, John M Esq",0.1
bforehand@forehand.com,Y,Albuquerque,"Segal, Jerome Cpa",0.05
caltwies@yahoo.com,Y,Bloomfield,Aaron M Levine & Assoc,0.1
marchelle.haddenham@haddenham.com,Y,Towson,Nutcracker Snacks Inc,0.075
dennis_plaxico@plaxico.org,Y,Weslaco,Stearns & Associates,0.2
tditti@yahoo.com,Y,North Attleboro,"Colley, Susan J Esq",0.1
jschwaderer@cox.net,Y,Hayward,Ace Crane Service Inc,0.1
freda.ponessa@aol.com,Y,Truckee,"Hughes, Richard D Esq",0.05
zora@aol.com,Y,Seattle,"Garber, Michael Esq",0.1
micha@gmail.com,Y,South El Monte,Owl Technical Association Inc,0.075
ward.szollosi@szollosi.com,Y,Wooster,"Fligg, Kenneth I Jr",0.1
shila.pellegrin@cox.net,Y,Philadelphia,Coalinga Regl Medl Ctr Physcl,0.05
kekin@hotmail.com,Y,South Pasadena,Anchor Savings Bank Fsb,0.1
elena.husanini@husanini.org,Y,Woodbridge,Sosnov & Sosnov,0.075
thanh@camaeho.com,Y,Jersey City,"Thompson, Susan S Esq",0.2
albina.nason@hotmail.com,Y,Boston,Tower Systems,0.1
kparsells@aol.com,Y,Kennett Square,Royal R V Center,0.1
jarod_varney@cox.net,Y,Amarillo,A B C Pattern & Foundry Co,0.05
gary_warns@hotmail.com,Y,Vero Beach,Premier Smoked Fish Inc,0.1
gaynelle@yahoo.com,Y,Miami,Bana Coml Ktchn Parts Inc,0.075
lacie.moretta@aol.com,Y,Chicago,Arctic Commercial Doors,0.1
arnoldo_lasecki@lasecki.com,Y,Saint Louis,E & T Plastics,0.05
sbuonanno@buonanno.org,Y,Palm Harbor,Metal Finishing Assn South Ca,0.1
clint_hulvey@hulvey.com,Y,Honolulu,"Weill, Jeffrey J Esq",0.075
gudrun_adamitis@gmail.com,Y,Little Silver,"Lichatin, Stephen Iii",0.2
wen_ventrone@yahoo.com,Y,Los Angeles,"Prokopets, Olga Dds",0.1
emiko_mikeska@hotmail.com,Y,Houston,Todd Industries Inc,0.1
leatrice.ruffel@gmail.com,Y,Jacksonville,Barrick Funeral Home,0.05
jannette@cosgrove.org,Y,Lubbock,"Ford, Robert H Esq",0.1
flossie@yahoo.com,Y,Springfield,"Olafsson, Barbara L Esq",0.075
mmordini@aol.com,Y,Danbury,"Baum, Robert L Esq",0.1
ilda.llanes@gmail.com,Y,Colmar,Contract Machining Co,0.05
julianna@vancampen.com,Y,Millbury,"Nail, Tommy Esq",0.1
elsy.ribsamen@hotmail.com,Y,Fairfield,Ainley & Hoover,0.075
lucina.mcquade@gmail.com,Y,Modesto,Heat Systems Inc,0.2
efren_maleonado@maleonado.com,Y,Wantagh,"Nadler, Gary M Esq",0.1
tonie@aol.com,Y,New York,Aurora Borealis Stamp & Supply,0.1
kali_pennypacker@yahoo.com,Y,Atlanta,Ecker Loehr & Ecker,0.05
edelmira_tsosie@yahoo.com,Y,Chicago,"Bruce, Geoffrey S",0.1
carletta@yahoo.com,Y,Ashland,Penna Council Of Churches,0.075
merlyn@aol.com,Y,Ridgefield,Atwood Malone Mann & Turner Pa,0.1
clemente_grammer@gmail.com,Y,Santa Ana,Best Western Settlers Inn,0.05
ghumes@humes.com,Y,San Diego,Own Your Own Vending Mach Co,0.1
yong@yahoo.com,Y,Edison,Forrest P Bowman & Company Inc,0.075
rufina.breitmeyer@gmail.com,Y,Jersey City,Success Unlimited,0.2
odell_brant@brant.com,Y,Richmond,Snook & Haughey Pc,0.1
tammie@boak.org,Y,Aptos,Celestial Software Inc,0.1
antonia_bynes@yahoo.com,Y,Brookfield,Personnel News,0.05
vhommel@hommel.com,Y,Warren,Marketing Horizons Inc,0.1
norma.smathers@cox.net,Y,Marietta,Carlan Mfg Co Inc,0.075
margie.you@you.com,Y,Newton,Schmitt Metal Products Inc,0.1
fbradigan@bradigan.org,Y,Homestead,Enright & Company,0.05
amiee.darsey@darsey.org,Y,Honolulu,Juliette Gordon Low Girl Scout,0.1
coleman.kasson@gmail.com,Y,Morristown,First Bank Of Beverly Hills,0.075
freisin@aol.com,Y,Alexandria,Hexcel Corporation,0.2
nokuno@gmail.com,Y,Parsippany,Fluid System Components Inc,0.1
nella.pyper@pyper.org,Y,Ketchikan,Video Image Productions,0.1
margert.klopp@klopp.org,Y,Philadelphia,"Erven, William A Od",0.05
jenee@yahoo.com,Y,Pembroke,Wqed Fm,0.1
hpap@pap.com,Y,Baltimore,"Katzen, Bruce A Esq",0.075
kia.horn@gmail.com,Y,Bayonne,"Jordan, Larry E Esq",0.1
leonie.laidlaw@cox.net,Y,San Mateo,Holmes Hally Industries,0.05
beula_knazs@gmail.com,Y,Lakewood,Ray Wood & Associates Pc,0.1
tula.karam@cox.net,Y,Sunnyvale,Signs & Designs Inc,0.075
marty_clouser@hotmail.com,Y,San Jose,Banfi Vintners,0.2
branden_luff@cox.net,Y,Levelland,Newtec Inc,0.1
demetrius.latzig@gmail.com,Y,Martinsburg,"Johnson, Frank E",0.1
nstennis@hotmail.com,Y,Williamstown,Phenix Technologies Inc,0.05
sharika_zucchetto@yahoo.com,Y,Downingtown,A & C Iron Works Inc,0.1
ncodling@aol.com,Y,North Brunswick,Caseys,0.075
sophie@yahoo.com,Y,Northborough,El & El Novelty Co,0.1
heike.minyard@aol.com,Y,Lafayette,Northwest Ks Plan & Dev Comm,0.05
dexter@yahoo.com,Y,Hackensack,Pragma International,0.1
ggocke@gocke.com,Y,Kearny,"Steigman, Ernest R Esq",0.075
strueblood@trueblood.com,Y,Utica,Kern Liebers Usa Inc,0.2
wendi_sheaman@sheaman.com,Y,Washington,"Stone, E Harrison Esq",0.1
latina_flock@flock.com,Y,Wilmington,Clerks Office,0.1
acelenza@hotmail.com,Y,Norristown,Mutual Savings Bank,0.05
ariel_fye@cox.net,Y,Bronx,"Cohen, Louis R Esq",0.1
estell_szymczak@szymczak.org,Y,Santa Barbara,Near Contracting Co,0.075
cboening@yahoo.com,Y,Lafayette,Artop,0.1
jhoughtaling@gmail.com,Y,New York,J & J Asbestos Removal Inc,0.05
eardinger@cox.net,Y,Northridge,"Ball, Stuart Esq",0.1
vanna.huck@hotmail.com,Y,San Antonio,Ideal Macaroni Co,0.075
britni@gmail.com,Y,Philadelphia,Pro Compressed Air Svc Al,0.2
ying.skolfield@skolfield.org,Y,Commack,"Starrett, R Scott Md",0.1
corrie.issac@issac.com,Y,Santa Barbara,"Vickery, Glenn Esq",0.1
jefferey_feagins@feagins.com,Y,Newport Beach,Mcnulty & Saacke,0.05
marnie@hotmail.com,Y,Ventura,"Redington, Thomas P Esq",0.1
cdetienne@aol.com,Y,Palatka,Tomi Engineering Inc,0.075
hong@yahoo.com,Y,Irving,Ambassador,0.1
jeane.talamas@aol.com,Y,San Ramon,Koa Kampground Of America,0.05
theresa@measheaw.com,Y,Gretna,Joy Insurance Agency,0.1
emogene.hect@hect.org,Y,Whippany,"Couch, David William",0.075
kristel_reiland@gmail.com,Y,Baltimore,"Youngblood, Nancy",0.2
stacia.maddrey@cox.net,Y,Irving,Practical Communications Inc,0.1
veda.gerety@cox.net,Y,Orange,Barbour Stockwell Co,0.1
dorotha@hotmail.com,Y,Reading,Ai Boggs,0.05
lholsey@cox.net,Y,Reno,Copytime,0.1
halley_kaarlela@cox.net,Y,Perth Amboy,Asian Business Association Inc,0.075
teresia_fedewa@fedewa.org,Y,Fremont,Fowler Addams Shughart,0.1
merlin.couden@couden.org,Y,Sullivan,Animal Crackers,0.05
voncile@aol.com,Y,Cicero,"Lensbower, Gregory L Esq",0.1
dion.hinsley@hinsley.org,Y,Hesperia,Garvins Rv Sales & Service,0.075
migdalia.mazzarella@hotmail.com,Y,Phoenix,"Ke, Xiaoming Esq",0.2
shelli.portland@gmail.com,Y,Baltimore,Byrd Reporting,0.1
benita_endersbe@endersbe.org,Y,Encino,Duckworth Morris Ins Agcy Inc,0.1
jhumiston@hotmail.com,Y,Canal Fulton,Riverchase Inn,0.05
lavinia@diperna.com,Y,Durant,"Olson, Janice R Esq",0.1
dominique.rasnic@rasnic.org,Y,Culver City,Merchandising Inventives Inc,0.075
bbonaccorso@yahoo.com,Y,Kenilworth,Meyer Tomatoes,0.1
hermelinda@france.org,Y,Chicago,A & J Food Wholesalers Inc,0.05
geoffrey_snedeker@snedeker.org,Y,Laredo,"Houston, Gary B Esq",0.1
ehutchcroft@aol.com,Y,San Diego,"Channen, Russell S Esq",0.075
tama@mctague.com,Y,Las Vegas,Action State Program Office,0.2
amoquin@yahoo.com,Y,Murtaugh,San Francisco Jean Co,0.1
dominic_salmonson@salmonson.com,Y,Portland,"Bricmont, Daniel K Esq",0.1
hai.labo@hotmail.com,Y,Farmington,Tci Cablevision Of Central Il,0.05
nakita_shummon@shummon.com,Y,Lorton,"Luria, Remy Esq",0.1
laura_lanphier@cox.net,Y,Springfield,Wsml 1200 Am,0.075
brigid.garb@yahoo.com,Y,Abilene,"Drummond, Steven J Esq",0.1
dillon.demick@aol.com,Y,Anchorage,"Rankin, Debroah A",0.05
stacee.bothof@bothof.com,Y,Mansfield,"Deichmeister, Robert L Esq",0.1
an.schieber@aol.com,Y,Concord,Simplot Fresh Division,0.075
gracia_kari@kari.org,Y,Los Angeles,Lakeland Hills Ymca,0.2
cherrie_bridenbecker@gmail.com,Y,Anaheim,Jones Deck Company,0.1
nharris@hotmail.com,Y,Los Angeles,Meyers Bakeries Inc,0.1
ruby_weeks@weeks.com,Y,New Bedford,Guadalupe Seguin Cnty Hispanic,0.05
amccomber@mccomber.org,Y,Trenton,"Oden, L Dennis Esq",0.1
rwillets@willets.com,Y,Buffalo,"Michael, William S Esq",0.075
wmckenzy@mckenzy.org,Y,Honolulu,State Investigative Agency Inc,0.1
vance@aol.com,Y,Moonachie,Galco Leasing,0.05
vounsy@hotmail.com,Y,Dublin,J K Boatwright & Co Pc,0.1
reva.durrwachter@durrwachter.com,Y,Wooster,Church Budget Envelope Co,0.075
mabernethy@yahoo.com,Y,Salt Lake City,Harco Graphic Products Inc,0.2
gus@gmail.com,Y,Mc Lean,Packers Manufacturing Inc,0.1
sknack@cox.net,Y,Danville,Sx Performance,0.1
micaela@makowski.org,Y,Minneapolis,"Cleek, David P Esq",0.05
melinda_adaway@adaway.com,Y,Woodbridge,"Harrison, Adam C Esq",0.1
wen@cox.net,Y,Plaistow,Time Systems International,0.075
eloisa.lasser@lasser.org,Y,Trenton,Ariz Tax Research Association,0.1
arie.gribben@gribben.com,Y,Honolulu,Indy Cartage,0.05
angelika@cox.net,Y,Miami,G M Enterprises,0.1
tanika_hegna@cox.net,Y,Little Rock,Atlas Van Lines Agent,0.075
neta_gour@yahoo.com,Y,San Jose,Market Advtsng Coverage Inc,0.2
zackary.husak@aol.com,Y,Alexandria,Waste Tech News,0.1
fumiko_slanker@yahoo.com,Y,New York,Marriott Hotels Resorts Suites,0.1
dbriley@gmail.com,Y,Annandale,"Windsor, James L Esq",0.05
lourdes_santiago@yahoo.com,Y,Clayton,"Palopoli, Sherri L Esq",0.1
traczka@raczka.org,Y,Scranton,"Mcminimee, Sally Buck Esq",0.075
rob@yahoo.com,Y,New York,Paramount Venetian Blnd Co Ltd,0.1
season@eatmon.org,Y,Dodge City,Engraving & Stamp Center,0.05
lynelle@yahoo.com,Y,Dallas,Kestrel Data Management Inc,0.1
agripina@aol.com,Y,Concord,Crestar Bank,0.075
ken@gmail.com,Y,Tallahassee,"Sapin, Marc E Esq",0.2
cornelia_guidry@guidry.com,Y,Marlton,Hedman & Asa Reporting,0.1
roselyn_lammert@aol.com,Y,Miami,Dur O Wal Inc Western,0.1
lashanda.seiple@yahoo.com,Y,Fort Washington,United Embossing,0.05
jesse_cavender@cox.net,Y,Stockton,Custom Engraving Service,0.1
curtis.creglow@creglow.com,Y,Cleveland,Long Beach Association Rltrs,0.075
mirta_corbo@cox.net,Y,Reno,Save The Children Fedrn Inc,0.1
darrin@mcguigan.org,Y,Miami,Kentucky Retired Teachers Assn,0.05
karly_contras@gmail.com,Y,Fairfield,Owen Distributors Inc,0.1
joette.vivino@yahoo.com,Y,Northvale,Fitness Master,0.075
mbrincks@cox.net,Y,Hyattsville,"Henslee, Denise J Esq",0.2
hyun@aol.com,Y,Lynwood,John Qs Fine Dining,0.1
noemi.stuckel@cox.net,Y,Beaumont,Lewis Mfg & Constrctn Inc,0.1
sharika.schnarr@hotmail.com,Y,Philadelphia,Hair Dimensions Styling Supl,0.05
earlene@gmail.com,Y,Phoenix,American Pie Co Inc,0.1
penelope@kotas.org,Y,Deer Park,Custom Awards & Engraving,0.075
angele@yahoo.com,Y,Syosset,Bovano Of Cheshire,0.1
gertha.willame@yahoo.com,Y,Rosedale,Cahoots Outdoor Cafe,0.05
tpittmann@gmail.com,Y,Whitinsville,"Scarzella, Giulio I Pa",0.1
vblythe@gmail.com,Y,National City,Agency Professionals,0.075
ppogar@cox.net,Y,South Holland,Key Entry Service,0.2
albert@cox.net,Y,Tacoma,"Claypool, Allan J Esq",0.1
rod.turlich@yahoo.com,Y,Little Silver,Stotter & Coats,0.1
vertie_johansson@aol.com,Y,San Jose,Penmar Industries Inc,0.05
so.kostis@kostis.com,Y,Williamstown,Technet Services,0.1
eoballe@aol.com,Y,Dedham,Budget Printing Center,0.075
cinthia.rubright@gmail.com,Y,Seattle,Chemsico Inc,0.1
eladia.ryce@hotmail.com,Y,Paramount,"Taylor, Ann C Esq",0.05
kieth.vivanco@cox.net,Y,Cincinnati,Northeast Reprographics,0.1
frances@gmail.com,Y,Ramsey,Trinity Industries,0.075
donny@yahoo.com,Y,Stockton,Equity Industries Corporation,0.2
herschel_calvo@cox.net,Y,Belleville,"Cohen, Steven A Esq",0.1
hsiu.frydman@cox.net,Y,Staten Island,Screen Art,0.1
kelsi.saft@hotmail.com,Y,Richmond,Gary Williams Parenti Finney,0.05
ha.goetter@cox.net,Y,White Plains,Cook & Miller Ltd,0.1
shaun.lecount@lecount.org,Y,Northfield,Eagle Screw Machine & Co,0.075
georgeanna_crego@crego.com,Y,Oklahoma City,Eds Automotive,0.1
rsearch@gmail.com,Y,San Francisco,Casserly Jones & Brittingham,0.05
audra_rumps@rumps.com,Y,Clinton,"Smith, Randall J",0.1
irina_pittenger@yahoo.com,Y,Philadelphia,"Scott, David A Esq",0.075
ksasnett@hotmail.com,Y,Marietta,Romac Supply Co,0.2
merlin.leshko@cox.net,Y,Santa Barbara,Lower Yellowstone Electric,0.1
cecile.gajate@hotmail.com,Y,Fairfax,United Food & Fitness Inc,0.1
geraldo.muffley@hotmail.com,Y,Cheyenne,Rite Industries Inc,0.05
ayesha@cox.net,Y,Columbia,South Bldg Code Congres,0.1
jsuhr@suhr.org,Y,Little Falls,Tragon Corporation,0.075
brigid@aol.com,Y,Mililani,Courtyard By Marriott,0.1
alvina.palazzola@aol.com,Y,Los Angeles,Northern Lights Htg & Cool Inc,0.05
clagoo@hotmail.com,Y,Corpus Christi,Sipsey Valley Supply,0.1
gstarns@yahoo.com,Y,Miami,Academy Capital Management,0.075
maynard@yahoo.com,Y,Addison,Lewis Fstr Langley Gardner,0.2
patricia_elie@yahoo.com,Y,Worcester,Thermotron Industries,0.1
cindie_lenoue@gmail.com,Y,Bel Air,Fabila Foods Inc,0.1
grover@cox.net,Y,Conroe,Cartruck Packaging,0.05
reanna_edgecomb@gmail.com,Y,Gramercy,Gauntlet Inc,0.1
vaughn.norrington@aol.com,Y,Princeton,Marta Group,0.075
faviola.dibbern@hotmail.com,Y,Baltimore,Ramada Hotel Camelback,0.1
drathburn@rathburn.org,Y,Cheyenne,T A Gorman Inc,0.05
steven@hotmail.com,Y,Merchantville,V Fontana & Co,0.1
thelma_dershem@dershem.org,Y,Arlington,Baresel Corp,0.075
wilfred_gillman@yahoo.com,Y,Lancaster,Circle Line Sightseeing Yachts,0.2
pok_billock@cox.net,Y,Orlando,"Keith, Philip Esq",0.1
charlette@sittig.com,Y,Acton,"Schneider, Merridith A Esq",0.1
